,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,71,71,f_classif,0.696
1,RF,2,71,71,f_classif,0.696
2,RF,3,71,71,f_classif,0.696
3,RF,4,91,91,f_classif,0.892
4,RF,5,81,81,f_classif,0.794
5,XGB,1,all,102,f_classif,1.0
6,XGB,2,30,30,f_classif,0.294
7,XGB,3,30,30,f_classif,0.294
8,XGB,4,40,40,f_classif,0.392
9,XGB,5,71,71,f_classif,0.696
10,DT,1,all,102,f_classif,1.0
11,DT,2,40,40,f_classif,0.392
12,DT,3,20,20,f_classif,0.196
13,DT,4,71,71,f_classif,0.696
14,DT,5,10,10,f_classif,0.098
