,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,30,30,f_classif,0.294
1,RF,2,20,20,f_classif,0.196
2,RF,3,71,71,f_classif,0.696
3,RF,4,71,71,f_classif,0.696
4,RF,5,30,30,f_classif,0.294
5,XGB,1,30,30,f_classif,0.294
6,XGB,2,10,10,f_classif,0.098
7,XGB,3,20,20,f_classif,0.196
8,XGB,4,51,51,f_classif,0.5
9,XGB,5,20,20,f_classif,0.196
10,DT,1,10,10,f_classif,0.098
11,DT,2,20,20,f_classif,0.196
12,DT,3,20,20,f_classif,0.196
13,DT,4,20,20,f_classif,0.196
14,DT,5,30,30,f_classif,0.294
