,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,all,102,f_classif,1.0
1,RF,2,91,91,f_classif,0.892
2,RF,3,all,102,f_classif,1.0
3,RF,4,all,102,f_classif,1.0
4,RF,5,91,91,f_classif,0.892
5,XGB,1,91,91,f_classif,0.892
6,XGB,2,40,40,f_classif,0.392
7,XGB,3,71,71,f_classif,0.696
8,XGB,4,91,91,f_classif,0.892
9,XGB,5,all,102,f_classif,1.0
10,DT,1,71,71,f_classif,0.696
11,DT,2,71,71,f_classif,0.696
12,DT,3,81,81,f_classif,0.794
13,DT,4,20,20,f_classif,0.196
14,DT,5,30,30,f_classif,0.294
