,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6188,0.5801,0.557,0.5628,0.6215,0.6188,0.6166,"{'n_estimators': 52, 'max_depth': 13, 'min_samples_split': 8, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",0.4667,0.549,0.5045,0.5417,0.3824,0.4483,0.732,0.7396,0.7358,52.0,13.0,8.0,10.0,sqrt,False,,,,,,,,,
1,RF,2,0.5699,0.5701,0.5426,0.5451,0.6052,0.5699,0.5782,"{'n_estimators': 393, 'max_depth': 14, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'bootstrap': False}",0.3947,0.5769,0.4688,0.5926,0.4324,0.5,0.7229,0.6186,0.6667,393.0,14.0,6.0,7.0,sqrt,False,,,,,,,,,
2,RF,3,0.5106,0.4827,0.5082,0.4683,0.5542,0.5106,0.5036,"{'n_estimators': 202, 'max_depth': 19, 'min_samples_split': 11, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'bootstrap': False}",0.7383,0.4702,0.5745,0.2353,0.2133,0.2238,0.4744,0.8409,0.6066,202.0,19.0,11.0,8.0,sqrt,False,,,,,,,,,
3,RF,4,0.4533,0.45,0.4275,0.4206,0.4801,0.4533,0.4495,"{'n_estimators': 186, 'max_depth': 12, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True}",0.3481,0.567,0.4314,0.3182,0.1795,0.2295,0.6837,0.536,0.6009,186.0,12.0,7.0,2.0,,True,,,,,,,,,
4,RF,5,0.5707,0.3798,0.5399,0.4452,0.4004,0.5707,0.4698,"{'n_estimators': 369, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",0.5357,0.6923,0.604,0.0,0.0,0.0,0.6038,0.9275,0.7314,369.0,3.0,20.0,9.0,sqrt,False,,,,,,,,,
5,XGB,1,0.6409,0.6145,0.5805,0.5917,0.6393,0.6409,0.6365,"{'n_estimators': 348, 'max_depth': 6, 'learning_rate': 0.05864129169696527, 'subsample': 0.8186841117373118, 'colsample_bytree': 0.6739417822102108, 'min_child_weight': 10, 'gamma': 3.8756641168055728, 'reg_alpha': 1.8789978831283782, 'reg_lambda': 1.7896547008552977}",0.5,0.5294,0.5143,0.625,0.4412,0.5172,0.7184,0.7708,0.7437,348.0,6.0,,,,,0.05864129169696527,0.8186841117373118,0.6739417822102108,10.0,3.8756641168055728,1.8789978831283782,1.7896547008552977,,
6,XGB,2,0.5591,0.5476,0.5179,0.5268,0.5762,0.5591,0.5636,"{'n_estimators': 312, 'max_depth': 5, 'learning_rate': 0.043275953345409894, 'subsample': 0.7017550392978164, 'colsample_bytree': 0.9753091410867505, 'min_child_weight': 6, 'gamma': 4.077725005275463, 'reg_alpha': 0.1954401752137389, 'reg_lambda': 0.5465504299986421}",0.3692,0.4615,0.4103,0.5926,0.4324,0.5,0.6809,0.6598,0.6702,312.0,5.0,,,,,0.043275953345409894,0.7017550392978164,0.9753091410867505,6.0,4.077725005275463,0.1954401752137389,0.5465504299986421,,
7,XGB,3,0.4894,0.47,0.4998,0.4595,0.5295,0.4894,0.4816,"{'n_estimators': 141, 'max_depth': 9, 'learning_rate': 0.024388720084625823, 'subsample': 0.9984067957444853, 'colsample_bytree': 0.7864727961201928, 'min_child_weight': 3, 'gamma': 2.8980211694339673, 'reg_alpha': 1.0667180335115558, 'reg_lambda': 0.7268130647495569}",0.6796,0.4167,0.5166,0.2436,0.2533,0.2484,0.4867,0.8295,0.6134,141.0,9.0,,,,,0.024388720084625823,0.9984067957444853,0.7864727961201928,3.0,2.8980211694339673,1.0667180335115558,0.7268130647495569,,
8,XGB,4,0.4867,0.4698,0.4551,0.451,0.4937,0.4867,0.4804,"{'n_estimators': 244, 'max_depth': 5, 'learning_rate': 0.08012737503998542, 'subsample': 0.6557975442608167, 'colsample_bytree': 0.7168578594140873, 'min_child_weight': 4, 'gamma': 2.28034992108518, 'reg_alpha': 1.5703519227860272, 'reg_lambda': 0.39934756431671947}",0.3676,0.5155,0.4292,0.3778,0.2179,0.2764,0.6639,0.632,0.6475,244.0,5.0,,,,,0.08012737503998542,0.6557975442608167,0.7168578594140873,4.0,2.28034992108518,1.5703519227860272,0.39934756431671947,,
9,XGB,5,0.6335,0.6691,0.6143,0.5973,0.6635,0.6335,0.607,"{'n_estimators': 239, 'max_depth': 3, 'learning_rate': 0.12848281323846295, 'subsample': 0.8312453072738961, 'colsample_bytree': 0.6685902179921372, 'min_child_weight': 2, 'gamma': 4.515824325057341, 'reg_alpha': 1.8126390554003051, 'reg_lambda': 0.36133292765573066}",0.6269,0.6462,0.6364,0.7727,0.2982,0.4304,0.6078,0.8986,0.7251,239.0,3.0,,,,,0.12848281323846295,0.8312453072738961,0.6685902179921372,2.0,4.515824325057341,1.8126390554003051,0.36133292765573066,,
