,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.609,0.5848,0.5248,0.5328,0.6062,0.609,0.5921,"{'n_estimators': 190, 'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 9, 'max_features': None, 'bootstrap': True}",0.4722,0.5,0.4857,0.6154,0.2857,0.3902,0.6667,0.7887,0.7226,190.0,5.0,8.0,9.0,,True,,,,,,,,,
1,RF,2,0.6271,0.5863,0.566,0.5723,0.6214,0.6271,0.6207,"{'n_estimators': 394, 'max_depth': 12, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': None, 'bootstrap': True}",0.4444,0.4444,0.4444,0.6087,0.4667,0.5283,0.7059,0.7869,0.7442,394.0,12.0,2.0,10.0,,True,,,,,,,,,
2,RF,3,0.4872,0.4413,0.4552,0.4148,0.4617,0.4872,0.445,"{'n_estimators': 419, 'max_depth': 12, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}",0.3875,0.62,0.4769,0.3,0.0682,0.1111,0.6364,0.6774,0.6562,419.0,12.0,12.0,1.0,sqrt,True,,,,,,,,,
3,RF,4,0.5926,0.5858,0.5558,0.5625,0.594,0.5926,0.5865,"{'n_estimators': 297, 'max_depth': 15, 'min_samples_split': 14, 'min_samples_leaf': 9, 'max_features': 'log2', 'bootstrap': True}",0.6441,0.5846,0.6129,0.5455,0.375,0.4444,0.5679,0.7077,0.6301,297.0,15.0,14.0,9.0,log2,True,,,,,,,,,
4,RF,5,0.5455,0.5613,0.5795,0.5372,0.6026,0.5455,0.5346,"{'n_estimators': 90, 'max_depth': 7, 'min_samples_split': 4, 'min_samples_leaf': 7, 'max_features': None, 'bootstrap': True}",0.7407,0.381,0.5031,0.4286,0.5294,0.4737,0.5146,0.8281,0.6347,90.0,7.0,4.0,7.0,,True,,,,,,,,,
5,XGB,1,0.594,0.5451,0.5196,0.5263,0.5869,0.594,0.5861,"{'n_estimators': 479, 'max_depth': 10, 'learning_rate': 0.02348130822266852, 'subsample': 0.6071847502459278, 'colsample_bytree': 0.8262452362725613, 'min_child_weight': 7, 'gamma': 1.338413443561857, 'reg_alpha': 0.7849057842052647, 'reg_lambda': 1.337848814118202}",0.4167,0.4412,0.4286,0.5263,0.3571,0.4255,0.6923,0.7606,0.7248,479.0,10.0,,,,,0.02348130822266852,0.6071847502459278,0.8262452362725613,7.0,1.338413443561857,0.7849057842052647,1.337848814118202,,
6,XGB,2,0.6186,0.5739,0.5618,0.5642,0.6166,0.6186,0.6148,"{'n_estimators': 198, 'max_depth': 7, 'learning_rate': 0.1486488878256435, 'subsample': 0.820203642992321, 'colsample_bytree': 0.7006370428783895, 'min_child_weight': 1, 'gamma': 2.1735511499039046, 'reg_alpha': 1.6880753163830369, 'reg_lambda': 1.3196581093913775}",0.4333,0.4815,0.4561,0.5652,0.4333,0.4906,0.7231,0.7705,0.746,198.0,7.0,,,,,0.1486488878256435,0.820203642992321,0.7006370428783895,1.0,2.1735511499039046,1.6880753163830369,1.3196581093913775,,
7,XGB,3,0.4936,0.4978,0.4694,0.4495,0.5099,0.4936,0.4718,"{'n_estimators': 256, 'max_depth': 8, 'learning_rate': 0.06577759260987599, 'subsample': 0.6686639884557615, 'colsample_bytree': 0.9643200809883948, 'min_child_weight': 7, 'gamma': 2.255780394484643, 'reg_alpha': 1.2192208171215513, 'reg_lambda': 1.5114273855149083}",0.3875,0.62,0.4769,0.4667,0.1591,0.2373,0.6393,0.629,0.6341,256.0,8.0,,,,,0.06577759260987599,0.6686639884557615,0.9643200809883948,7.0,2.255780394484643,1.2192208171215513,1.5114273855149083,,
8,XGB,4,0.6235,0.5974,0.592,0.594,0.6208,0.6235,0.6215,"{'n_estimators': 217, 'max_depth': 4, 'learning_rate': 0.015831331953673075, 'subsample': 0.6480417000686547, 'colsample_bytree': 0.6805840453993232, 'min_child_weight': 3, 'gamma': 0.007250058963767181, 'reg_alpha': 1.483736390195674, 'reg_lambda': 1.5094472271134705}",0.6667,0.6462,0.6562,0.4828,0.4375,0.459,0.6429,0.6923,0.6667,217.0,4.0,,,,,0.015831331953673075,0.6480417000686547,0.6805840453993232,3.0,0.007250058963767181,1.483736390195674,1.5094472271134705,,
9,XGB,5,0.5682,0.5906,0.6055,0.5623,0.6362,0.5682,0.5595,"{'n_estimators': 452, 'max_depth': 9, 'learning_rate': 0.03964323779340515, 'subsample': 0.7075496061281158, 'colsample_bytree': 0.7437106771256741, 'min_child_weight': 4, 'gamma': 1.5972733117451898, 'reg_alpha': 1.314483132775155, 'reg_lambda': 1.8118355664926429}",0.7925,0.4,0.5316,0.4545,0.5882,0.5128,0.5248,0.8281,0.6424,452.0,9.0,,,,,0.03964323779340515,0.7075496061281158,0.7437106771256741,4.0,1.5972733117451898,1.314483132775155,1.8118355664926429,,
