,Model,Fold,K_Parameter,N_Features_Selected,Score_Function,Feature_Proportion
0,RF,1,28,28,f_classif,0.778
1,RF,2,all,36,f_classif,1.0
2,RF,3,25,25,f_classif,0.694
3,RF,4,all,36,f_classif,1.0
4,RF,5,all,36,f_classif,1.0
5,XGB,1,10,10,f_classif,0.278
6,XGB,2,14,14,f_classif,0.389
7,XGB,3,32,32,f_classif,0.889
8,XGB,4,32,32,f_classif,0.889
9,XGB,5,32,32,f_classif,0.889
10,DT,1,3,3,f_classif,0.083
11,DT,2,25,25,f_classif,0.694
12,DT,3,7,7,f_classif,0.194
13,DT,4,7,7,f_classif,0.194
14,DT,5,25,25,f_classif,0.694
